Wall time,Step,Value
1766098859.0226402,202752,583.1488647460938
1766098861.8207626,204800,596.32275390625
1766098864.683557,206848,599.6434326171875
1766098867.493449,208896,613.890625
1766098870.3474147,210944,626.6278686523438
1766098873.05457,212992,640.80224609375
1766098877.285771,215040,651.745849609375
1766098883.5115175,217088,660.7449340820312
1766098889.5995126,219136,660.8601684570312
1766098895.6137354,221184,676.9993896484375
1766098902.579668,223232,681.6305541992188
1766098908.8850548,225280,698.14599609375
1766098915.0912843,227328,710.2822875976562
1766098921.278121,229376,722.1054077148438
1766098927.159534,231424,732.3164672851562
1766098933.4254148,233472,746.2140502929688
1766098939.4384155,235520,765.387939453125
1766098945.5563908,237568,774.9357299804688
1766098951.4843123,239616,780.6355590820312
1766098957.4480891,241664,784.5985717773438
1766098963.5663888,243712,799.31005859375
1766098969.6371298,245760,813.7228393554688
1766098975.5019724,247808,817.5663452148438
1766098981.422875,249856,831.61572265625
1766098987.69245,251904,844.3814697265625
1766098994.0012968,253952,857.5906982421875
1766099000.3456328,256000,870.6448974609375
1766099006.5015721,258048,867.21923828125
1766099012.6082475,260096,900.0518798828125
1766099018.878466,262144,897.8153686523438
1766099025.0969186,264192,894.2750244140625
1766099031.4380884,266240,893.082275390625
1766099037.6548743,268288,905.7937622070312
1766099043.675175,270336,945.124267578125
1766099049.9194849,272384,965.129150390625
1766099056.245693,274432,963.3573608398438
1766099062.2590392,276480,1014.6670532226562
1766099068.6226375,278528,1019.24462890625
1766099074.7468498,280576,1037.0946044921875
1766099080.9390545,282624,1050.3460693359375
1766099086.8118348,284672,1075.1348876953125
1766099092.6592205,286720,1091.21533203125
1766099098.7926383,288768,1135.44091796875
1766099105.1498253,290816,1145.6458740234375
1766099111.0517826,292864,1160.7808837890625
1766099116.9979055,294912,1190.7613525390625
1766099123.0317335,296960,1230.4300537109375
1766099129.1889668,299008,1281.4473876953125
1766099134.956801,301056,1333.861083984375
1766099140.924773,303104,1381.350830078125
1766099147.128918,305152,1435.0941162109375
1766099153.043373,307200,1447.205322265625
1766099159.2801006,309248,1495.35009765625
1766099164.9498248,311296,1506.7147216796875
1766099171.041514,313344,1558.1885986328125
1766099177.1933951,315392,1625.0589599609375
1766099183.11889,317440,1672.5848388671875
1766099189.3425715,319488,1698.107666015625
1766099195.4273438,321536,1737.479736328125
1766099201.143085,323584,1791.878173828125
1766099207.4875088,325632,1828.838134765625
1766099213.5412118,327680,1854.11962890625
1766099219.5645995,329728,1899.1138916015625
1766099225.6542678,331776,1918.7811279296875
1766099231.7480786,333824,1975.7362060546875
1766099237.993955,335872,2004.9224853515625
1766099244.0651333,337920,2061.786376953125
1766099250.356353,339968,2077.581787109375
1766099256.5059597,342016,2119.3623046875
1766099262.5684257,344064,2162.952880859375
1766099268.6978126,346112,2193.734130859375
1766099274.848783,348160,2239.505859375
1766099281.0842495,350208,2298.1259765625
1766099287.3713465,352256,2338.78173828125
1766099293.1958356,354304,2380.894287109375
1766099299.2375896,356352,2429.97021484375
1766099305.4966977,358400,2470.10400390625
1766099311.6556563,360448,2478.59521484375
1766099317.6881251,362496,2531.0908203125
1766099324.0072975,364544,2581.826904296875
1766099330.048498,366592,2626.626953125
1766099335.9757917,368640,2663.765625
1766099342.1703508,370688,2717.3896484375
1766099348.2008574,372736,2767.676025390625
1766099354.175717,374784,2797.16845703125
1766099360.20921,376832,2826.813232421875
1766099365.7955616,378880,2890.4287109375
1766099371.8643136,380928,2899.7197265625
1766099377.8956778,382976,2910.11572265625
1766099383.8605177,385024,2927.2001953125
1766099390.1954596,387072,2935.40869140625
1766099396.1492994,389120,2961.999755859375
1766099402.3411925,391168,2956.007080078125
1766099408.357003,393216,3005.86279296875
1766099414.3823128,395264,3045.4345703125
1766099420.6125996,397312,3081.292724609375
1766099426.7157278,399360,3108.7109375
1766099432.6612346,401408,3091.361572265625
1766099438.3714254,403456,3119.421630859375
1766099444.4617405,405504,3132.88818359375
1766099450.858956,407552,3155.794921875
1766099457.2883763,409600,3143.89599609375
1766099463.4386756,411648,3125.98876953125
1766099469.5774493,413696,3137.1181640625
1766099475.8534353,415744,3173.879150390625
1766099482.004684,417792,3162.01318359375
1766099488.3566043,419840,3198.81591796875
1766099494.3837514,421888,3181.6484375
1766099500.6333513,423936,3214.150390625
1766099507.088593,425984,3223.90869140625
1766099515.4620755,428032,3255.159912109375
1766099523.200562,430080,3271.068359375
1766099529.669061,432128,3296.269287109375
1766099535.6665409,434176,3280.44287109375
1766099541.8832843,436224,3288.852294921875
1766099548.1157987,438272,3285.9091796875
1766099553.8584802,440320,3331.288330078125
1766099560.020535,442368,3367.461669921875
1766099565.979977,444416,3369.757080078125
1766099572.107172,446464,3406.082763671875
1766099578.0650795,448512,3431.83349609375
1766099584.5375564,450560,3447.59375
1766099590.25132,452608,3462.4453125
1766099596.3101823,454656,3471.816650390625
1766099602.5513117,456704,3469.36474609375
1766099608.4370377,458752,3467.2041015625
1766099614.3989348,460800,3478.760009765625
1766099620.4397273,462848,3486.0576171875
1766099626.4324756,464896,3510.20068359375
1766099632.35532,466944,3518.423828125
1766099638.337532,468992,3525.443359375
1766099644.5942297,471040,3506.1806640625
1766099650.1624548,473088,3474.093994140625
1766099656.1941,475136,3483.33251953125
1766099662.2237556,477184,3503.858154296875
1766099668.329494,479232,3511.093017578125
1766099674.733383,481280,3517.15380859375
1766099680.484734,483328,3545.839599609375
1766099686.5039918,485376,3554.0908203125
1766099692.5431561,487424,3558.373779296875
1766099698.2889826,489472,3594.59814453125
1766099704.569509,491520,3616.3759765625
1766099710.7111092,493568,3621.454345703125
1766099716.8883502,495616,3643.329345703125
1766099722.9612658,497664,3701.138671875
1766099728.8066406,499712,3754.94091796875
1766099734.9360185,501760,3753.0986328125
1766099740.9973814,503808,3758.101806640625
1766099747.3389769,505856,3817.3447265625
1766099753.6325958,507904,3792.129150390625
1766099759.7932534,509952,3798.891357421875
1766099765.986397,512000,3838.8740234375
1766099772.1446683,514048,3829.407470703125
1766099778.174066,516096,3861.0380859375
1766099784.0939198,518144,3856.40966796875
1766099790.164002,520192,3864.29443359375
1766099796.2073395,522240,3844.7080078125
1766099802.3766484,524288,3818.101318359375
1766099809.3237643,526336,3825.43408203125
1766099815.4759629,528384,3841.371826171875
1766099821.9491339,530432,3848.781982421875
1766099827.9695184,532480,3854.916259765625
1766099833.693884,534528,3890.521240234375
1766099839.9370904,536576,3897.199951171875
1766099846.0054529,538624,3905.57958984375
1766099852.2598598,540672,3870.246826171875
1766099858.1642082,542720,3832.490966796875
1766099863.9256802,544768,3859.354736328125
1766099869.7420762,546816,3835.5478515625
1766099875.6863315,548864,3841.2802734375
1766099881.7825444,550912,3851.572509765625
1766099887.7414403,552960,3828.490234375
1766099893.4947407,555008,3834.480224609375
1766099899.4228408,557056,3839.43408203125
1766099905.3360436,559104,3859.291015625
1766099911.4618385,561152,3907.27099609375
1766099917.6542985,563200,3874.38623046875
1766099923.8053024,565248,3921.882080078125
1766099929.673418,567296,3930.8173828125
1766099935.8287086,569344,3938.296630859375
1766099941.9959617,571392,3942.470947265625
1766099948.2581506,573440,3926.87744140625
1766099954.1632133,575488,3919.02099609375
1766099960.187189,577536,3929.80615234375
1766099966.2979345,579584,3935.754638671875
1766099972.6502752,581632,3942.533203125
1766099978.919757,583680,3906.844970703125
1766099985.168156,585728,3924.553955078125
1766099991.2889252,587776,3929.690673828125
1766099997.4194794,589824,3933.697509765625
1766100003.532064,591872,3964.0380859375
1766100009.7020848,593920,3938.428466796875
1766100015.8342395,595968,3932.751953125
1766100022.032496,598016,3935.983642578125
1766100028.0195572,600064,3940.646240234375
1766100034.2075346,602112,3921.914306640625
1766100040.6004155,604160,3923.8955078125
1766100046.8276074,606208,3958.002197265625
1766100052.9720724,608256,3961.145263671875
1766100059.0275962,610304,3992.345703125
1766100065.328472,612352,4007.5146484375
1766100071.361244,614400,4065.201904296875
1766100077.4163222,616448,4070.959716796875
1766100083.2983377,618496,4073.6689453125
1766100088.9801698,620544,4077.40478515625
1766100095.0995917,622592,4081.662109375
1766100101.1782074,624640,4092.964111328125
1766100107.3368597,626688,4095.643798828125
1766100113.3693101,628736,4098.94921875
1766100119.2822492,630784,4145.3486328125
1766100125.4325309,632832,4147.240234375
1766100131.3994663,634880,4162.40478515625
1766100137.329205,636928,4175.892578125
1766100143.1223974,638976,4217.3935546875
1766100149.0666435,641024,4220.22509765625
1766100155.0054333,643072,4221.4423828125
1766100160.8859231,645120,4224.3583984375
1766100166.719513,647168,4257.26953125
1766100172.7166622,649216,4260.6669921875
1766100178.9551678,651264,4263.6923828125
1766100185.0311852,653312,4276.53076171875
1766100191.0452375,655360,4280.31982421875
1766100197.1065567,657408,4325.8154296875
1766100203.3125718,659456,4367.85791015625
1766100209.511633,661504,4372.24267578125
1766100215.7968674,663552,4375.41455078125
1766100221.973048,665600,4379.2763671875
1766100227.8695562,667648,4380.7119140625
1766100234.0752704,669696,4377.06201171875
1766100240.2246864,671744,4381.28125
1766100246.3307955,673792,4381.5224609375
1766100252.5226977,675840,4385.22119140625
1766100258.5411947,677888,4391.0810546875
1766100264.4505198,679936,4355.90283203125
1766100270.5391488,681984,4358.62255859375
1766100276.7363372,684032,4361.9814453125
1766100282.6478865,686080,4364.23828125
1766100288.6821268,688128,4396.6142578125
1766100294.8163404,690176,4400.9365234375
1766100300.6644266,692224,4483.505859375
1766100306.9052713,694272,4488.38232421875
1766100313.030762,696320,4487.134765625
1766100318.9903173,698368,4528.7861328125
1766100324.8393323,700416,4533.279296875
1766100330.7471418,702464,4540.12939453125
1766100336.8001099,704512,4533.96337890625
1766100342.9110794,706560,4511.390625
1766100348.7674823,708608,4479.47216796875
1766100354.6651292,710656,4481.90576171875
1766100360.5550022,712704,4484.60546875
1766100366.7045453,714752,4460.8642578125
1766100372.9104452,716800,4462.35302734375
1766100379.0807605,718848,4463.669921875
1766100385.1573656,720896,4465.6884765625
1766100390.981547,722944,4464.4423828125
1766100396.9986591,724992,4434.6875
1766100403.0055351,727040,4476.4345703125
1766100408.8584585,729088,4478.05078125
1766102351.907584,731136,4481.31201171875
1766102359.1610816,733184,4482.798828125
1766102363.38805,735232,4484.7919921875
1766102366.817428,737280,4488.11767578125
1766102369.7086358,739328,4490.41259765625
1766102372.9776428,741376,4494.39111328125
1766102375.9786668,743424,4497.86962890625
1766102379.1121943,745472,4467.6240234375
1766102382.1034594,747520,4450.369140625
1766102385.1766706,749568,4419.90966796875
1766102388.15329,751616,4422.40771484375
1766102391.1104076,753664,4349.80712890625
1766102394.1539927,755712,4353.21728515625
1766102397.0884473,757760,4358.61181640625
1766102400.0984151,759808,4325.10205078125
1766102403.0423539,761856,4379.32861328125
1766102405.9071765,763904,4380.689453125
1766102409.4987583,765952,4354.75732421875
1766102412.543795,768000,4357.15673828125
1766102416.1769695,770048,4399.23388671875
1766102419.755424,772096,4410.00439453125
1766102426.6594117,774144,4413.76904296875
1766102430.9875605,776192,4342.69921875
1766102433.7470443,778240,4345.97412109375
1766102436.6158671,780288,4313.1923828125
1766102439.8612876,782336,4201.29345703125
1766102442.9920213,784384,4206.8017578125
1766102449.9498296,786432,4172.23486328125
1766102460.6838613,788480,4164.01611328125
1766102469.1773257,790528,4166.56591796875
1766102478.535123,792576,4125.525390625
1766102489.3858256,794624,4129.822265625
1766102498.49735,796672,4093.46630859375
1766102508.4384396,798720,4063.400390625
1766102516.657024,800768,4048.2294921875
